"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";4;2;7;6;1;2;32;39;27;17;22;32;41;31;48;57;70;70;62;98;-;668
"330015 Aperibé";2;-;-;-;-;-;-;1;-;-;-;-;-;3;3;5;6;3;4;10;-;37
"330020 Araruama";4;5;6;2;1;-;18;16;15;18;12;20;21;40;47;65;67;54;57;144;2;614
"330022 Areal";-;1;-;-;-;-;-;3;-;2;-;1;1;4;6;2;8;4;7;14;-;53
"330023 Armação dos Búzios";3;-;-;2;-;1;4;7;3;3;8;8;5;13;11;13;15;19;15;19;-;149
"330025 Arraial do Cabo";3;-;-;-;-;-;5;2;3;3;6;8;8;15;11;15;16;11;10;25;-;141
"330030 Barra do Piraí";2;2;2;2;1;-;4;10;5;4;11;20;13;29;33;49;47;57;43;89;4;427
"330040 Barra Mansa";11;1;4;4;-;1;8;24;22;17;23;25;32;46;66;93;109;101;87;177;2;853
"330045 Belford Roxo";20;8;23;11;4;4;79;97;75;48;74;63;108;109;159;208;226;240;194;305;1;2056
"330050 Bom Jardim";1;-;1;-;-;-;-;1;1;2;3;2;4;11;7;5;13;10;17;33;-;111
"330060 Bom Jesus do Itabapoana";4;1;2;-;3;1;5;2;2;2;1;4;11;16;18;17;23;28;30;45;-;215
"330070 Cabo Frio";10;5;5;1;2;6;33;35;28;25;24;23;32;48;67;74;99;90;63;183;2;855
"330080 Cachoeiras de Macacu";1;-;1;2;2;-;9;11;9;10;8;6;5;17;21;29;27;23;24;49;-;254
"330090 Cambuci";-;-;-;1;-;-;-;1;1;1;1;2;3;4;7;6;12;8;4;24;-;75
"330100 Campos dos Goytacazes";29;12;23;9;11;7;46;47;51;49;54;81;98;155;189;217;218;234;245;538;-;2313
"330110 Cantagalo";-;1;1;-;-;-;1;1;4;3;4;3;6;5;6;15;7;13;18;21;1;110
"330093 Carapebus";-;-;-;-;-;-;2;3;-;-;2;2;3;4;8;3;7;3;5;10;-;52
"330115 Cardoso Moreira";1;-;1;-;-;1;-;-;1;2;2;3;-;5;6;6;7;8;6;20;-;69
"330120 Carmo";1;-;-;-;-;1;-;-;-;-;1;1;5;6;4;7;11;11;13;34;-;95
"330130 Casimiro de Abreu";-;1;-;-;-;1;4;3;3;4;5;5;6;6;11;12;13;19;13;23;-;129
"330095 Comendador Levy Gasparian";-;-;-;-;-;1;-;-;-;1;3;1;2;3;3;6;5;7;4;13;-;49
"330140 Conceição de Macabu";2;-;4;-;-;-;5;5;5;4;4;3;4;6;4;10;8;7;13;20;-;104
"330150 Cordeiro";1;-;-;-;-;-;-;1;2;-;-;2;1;7;10;5;17;14;12;16;-;88
"330160 Duas Barras";2;-;-;1;-;-;-;-;-;-;1;1;-;3;6;2;7;1;2;8;-;34
"330170 Duque de Caxias";47;37;30;17;7;10;113;158;108;85;97;132;155;254;329;433;444;397;367;627;-;3847
"330180 Engenheiro Paulo de Frontin";2;-;1;1;-;-;-;1;1;3;1;2;3;7;7;8;13;10;5;15;1;81
"330185 Guapimirim";1;-;2;1;-;1;6;8;7;7;6;9;4;17;22;24;28;32;35;37;-;247
"330187 Iguaba Grande";-;2;-;-;-;1;-;4;2;1;2;1;6;5;13;13;25;26;18;35;-;154
"330190 Itaboraí";9;7;12;3;1;2;49;46;36;26;39;40;56;55;100;99;122;133;117;171;13;1136
"330200 Itaguaí";7;5;8;4;-;4;26;20;19;21;10;25;22;29;62;55;62;75;42;92;-;588
"330205 Italva";1;-;1;-;-;-;3;3;-;-;1;-;6;4;3;9;6;13;8;24;-;82
"330210 Itaocara";-;1;-;-;-;-;4;2;1;3;2;2;3;7;11;4;13;12;15;39;-;119
"330220 Itaperuna";7;2;2;1;-;-;-;13;10;7;11;12;14;28;36;48;64;43;56;132;1;487
"330225 Itatiaia";2;-;-;-;-;1;1;3;3;5;5;2;7;9;6;12;14;10;16;22;1;119
"330227 Japeri";4;1;2;-;1;1;18;21;21;23;15;13;17;30;31;36;47;47;30;53;-;411
"330230 Laje do Muriaé";1;-;-;-;-;1;1;-;1;3;2;2;4;3;7;4;5;2;3;9;-;48
"330240 Macaé";11;4;6;6;3;4;32;33;33;32;26;26;28;41;55;84;73;84;63;142;2;788
"330245 Macuco";-;-;-;-;-;-;1;-;1;-;1;3;1;2;6;2;-;2;2;11;-;32
"330250 Magé";15;7;7;1;2;1;28;30;27;39;33;32;50;69;99;118;130;119;112;210;-;1129
"330260 Mangaratiba";2;-;1;1;1;1;1;6;3;4;6;4;8;14;15;20;35;34;27;33;4;220
"330270 Maricá";4;-;4;4;1;1;16;14;21;13;29;15;23;41;70;78;93;83;85;148;-;743
"330280 Mendes";-;-;-;-;-;-;-;1;2;1;2;2;5;6;6;11;16;9;11;21;-;93
"330285 Mesquita";8;2;4;-;1;1;14;18;23;17;19;17;37;45;51;59;79;89;83;136;-;703
"330290 Miguel Pereira";3;1;-;-;-;1;-;3;-;1;-;5;5;7;8;23;11;15;15;40;-;138
"330300 Miracema";3;-;-;-;-;-;3;2;1;3;1;8;6;8;15;11;13;9;11;33;-;127
"330310 Natividade";-;-;-;2;1;1;2;1;-;1;2;4;1;2;2;8;15;11;12;28;-;93
"330320 Nilópolis";2;2;5;3;-;3;18;19;14;19;28;20;24;32;55;96;97;105;73;141;2;758
"330330 Niterói";11;7;13;9;2;3;69;89;51;44;52;55;70;112;152;216;251;244;238;691;-;2379
"330340 Nova Friburgo";5;1;1;2;3;-;5;13;16;13;16;39;35;55;58;81;87;102;94;190;-;816
"330350 Nova Iguaçu";48;11;20;20;-;6;82;119;106;94;87;117;165;253;294;394;428;397;328;646;2;3617
"330360 Paracambi";-;-;1;-;-;-;3;3;3;-;8;5;6;5;26;25;22;31;23;46;-;207
"330370 Paraíba do Sul";3;2;-;1;-;2;5;3;4;2;7;5;8;19;15;15;22;31;29;46;-;219
"330380 Paraty";6;2;2;-;-;-;4;7;8;4;4;6;8;11;11;12;14;12;11;28;-;150
