
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";3;2;4;-;-;2;3;22;41;27;23;26;24;32;43;44;57;57;67;67;80;1;625
"330015 Aperibé";2;-;-;-;-;-;2;-;1;2;1;2;-;-;4;3;4;3;3;9;15;-;51
"330020 Araruama";4;2;3;-;3;1;1;14;23;15;13;13;23;31;33;43;54;66;57;71;137;3;610
"330022 Areal";4;1;-;-;1;-;-;-;-;-;-;1;2;4;6;4;6;4;3;5;8;-;49
"330023 Armação dos Búzios";3;-;-;-;-;-;2;8;8;6;8;4;4;9;9;17;7;14;11;14;23;-;147
"330025 Arraial do Cabo";1;-;-;-;-;-;-;3;6;1;5;5;4;12;9;11;17;18;13;22;30;2;159
"330030 Barra do Piraí";5;1;6;-;1;1;3;10;12;6;7;8;10;19;25;42;37;54;40;46;99;2;434
"330040 Barra Mansa";10;-;2;-;4;1;4;23;19;14;10;20;25;40;49;61;76;68;91;104;171;6;798
"330045 Belford Roxo";23;9;14;-;4;5;3;87;82;64;60;56;79;99;129;185;199;215;214;164;258;-;1949
"330050 Bom Jardim";1;1;1;-;-;-;1;2;-;4;3;1;4;7;8;11;12;17;13;15;29;-;130
"330060 Bom Jesus do Itabapoana";1;-;-;-;-;1;1;3;2;3;3;3;7;10;14;22;11;17;16;14;51;-;179
"330070 Cabo Frio";12;4;7;-;2;-;1;29;36;33;23;16;23;35;46;61;81;83;68;78;133;1;772
"330080 Cachoeiras de Macacu";3;-;2;-;-;-;1;3;6;8;7;7;5;9;10;18;31;35;31;32;67;-;275
"330090 Cambuci";-;-;-;-;-;1;-;1;-;2;2;3;4;2;3;12;6;11;5;15;27;-;94
"330100 Campos dos Goytacazes";28;11;10;-;2;7;8;43;71;73;42;82;70;90;129;186;196;230;213;226;447;-;2164
"330110 Cantagalo";1;-;-;-;-;-;-;1;-;-;1;2;4;2;8;7;7;7;7;7;22;-;76
"330093 Carapebus";-;-;1;-;-;1;-;1;1;4;1;1;2;2;2;2;8;4;2;4;12;-;48
"330115 Cardoso Moreira";1;-;-;-;1;-;-;1;-;-;-;1;1;4;2;7;6;9;3;9;22;-;67
"330120 Carmo";1;-;-;-;-;-;-;1;1;1;1;3;1;2;6;6;8;7;5;11;26;-;80
"330130 Casimiro de Abreu";-;-;-;-;-;-;-;8;5;2;5;4;5;8;12;12;15;16;11;14;26;-;143
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;1;1;1;6;-;-;2;2;6;1;3;4;7;5;10;-;49
"330140 Conceição de Macabu";-;1;1;-;-;-;1;2;2;2;3;6;2;6;8;11;12;7;9;14;16;1;104
"330150 Cordeiro";2;-;1;-;2;-;-;-;1;-;1;3;2;5;7;9;2;7;6;15;23;-;86
"330160 Duas Barras";-;-;-;-;-;-;1;-;-;-;-;2;-;1;5;3;6;3;4;4;6;-;35
"330170 Duque de Caxias";57;17;34;-;15;11;19;159;183;122;125;115;126;142;234;259;395;397;333;324;541;1;3609
"330180 Engenheiro Paulo de Frontin";-;-;-;-;-;-;-;1;-;1;2;2;1;6;4;5;3;11;9;7;13;-;65
"330185 Guapimirim";3;1;1;-;1;-;1;6;15;9;8;12;11;8;10;24;27;27;17;19;49;-;249
"330187 Iguaba Grande";4;1;-;-;-;-;1;2;4;3;1;2;3;2;7;13;15;21;15;15;25;1;135
"330190 Itaboraí";9;5;7;-;4;-;4;32;38;45;33;33;32;44;71;87;99;117;99;102;164;17;1042
"330200 Itaguaí";8;2;4;-;2;2;5;27;28;14;19;21;20;19;36;56;67;52;75;45;75;-;577
"330205 Italva";-;-;-;-;-;-;-;-;1;-;1;-;1;5;2;6;-;6;2;14;29;-;67
"330210 Itaocara";3;-;-;-;-;-;-;1;-;5;2;3;4;2;5;10;11;11;15;11;40;-;123
"330220 Itaperuna";5;-;1;-;-;1;1;5;3;12;10;14;17;19;37;37;45;44;54;57;115;2;479
"330225 Itatiaia";2;-;1;-;1;-;1;1;4;7;3;2;7;6;7;12;12;20;8;14;21;-;129
"330227 Japeri";5;3;5;-;3;-;3;12;23;13;14;11;17;13;25;30;31;35;39;28;42;-;352
"330230 Laje do Muriaé";-;-;-;-;-;-;-;1;3;1;-;1;1;2;5;3;2;3;2;7;7;-;38
"330240 Macaé";14;8;4;-;3;3;2;33;41;43;29;35;30;34;46;64;78;54;68;77;120;2;788
"330245 Macuco";-;1;-;-;-;-;-;-;1;-;1;2;-;-;3;2;4;4;8;3;-;-;29
"330250 Magé";12;9;11;-;5;3;3;43;53;37;45;39;38;49;77;82;105;134;121;118;212;-;1196
"330260 Mangaratiba";2;-;1;-;-;-;-;7;6;5;2;9;4;11;11;15;23;22;25;21;42;2;208
"330270 Maricá";8;4;4;-;3;-;2;9;25;14;10;25;10;25;38;68;74;76;62;66;144;-;667
"330280 Mendes";-;1;-;-;-;-;-;2;-;1;3;2;4;2;6;9;10;10;11;15;20;-;96
"330285 Mesquita";7;2;7;-;3;1;-;21;26;32;22;20;22;29;49;75;73;86;74;60;112;-;721
"330290 Miguel Pereira";3;-;-;-;-;-;-;-;1;2;-;-;3;7;7;13;15;12;15;15;27;-;120
"330300 Miracema";1;2;-;-;-;1;-;4;1;2;4;7;6;12;7;12;16;13;14;16;28;-;146
"330310 Natividade";-;-;-;-;-;-;-;-;1;2;1;3;2;2;5;2;3;7;3;10;22;-;63
"330320 Nilópolis";17;3;6;-;-;2;4;33;30;21;28;21;25;28;40;74;73;90;82;72;122;8;779
"330330 Niterói";14;9;9;-;6;2;4;50;50;36;35;42;49;58;109;191;194;244;244;257;620;-;2223
"330340 Nova Friburgo";5;3;4;-;3;1;1;7;6;10;13;18;24;37;49;63;72;94;97;80;223;1;811
"330350 Nova Iguaçu";50;21;33;-;13;8;12;122;142;104;104;99;125;151;214;302;367;348;384;306;571;1;3477
"330360 Paracambi";2;-;1;-;-;-;1;4;6;3;7;5;8;7;11;23;22;25;16;25;32;-;198
"330370 Paraíba do Sul";3;2;2;-;-;-;-;-;4;2;4;5;6;9;10;16;12;22;21;16;50;-;184
"330380 Paraty";-;-;-;-;-;-;1;7;9;5;6;8;5;6;12;13;11;12;17;13;29;-;154
"330385 Paty do Alferes";3;-;1;-;1;-;-;4;5;1;4;2;5;5;9;6;9;14;11;19;35;1;135
"330390 Petrópolis";10;5;4;-;6;1;4;15;21;13;17;32;37;61;91;118;143;178;175;159;335;1;1426
"330395 Pinheiral";3;-;1;-;-;-;1;1;4;7;4;6;3;3;9;14;9;13;7;10;21;-;116
"330400 Piraí";-;1;1;-;2;-;-;-;3;2;3;1;3;5;6;7;10;18;22;7;27;-;118
"330410 Porciúncula";1;-;1;-;-;-;-;-;1;1;2;2;1;4;4;6;7;7;6;7;23;-;73
"330411 Porto Real";1;2;-;-;-;-;2;3;4;5;3;-;4;7;3;13;10;10;13;5;14;-;99
"330412 Quatis";-;-;-;-;-;-;-;-;7;-;1;3;1;-;4;5;4;14;6;5;8;-;58
"330414 Queimados";12;2;10;-;2;4;4;37;68;31;30;29;26;27;44;66;68;81;83;54;88;2;768
"330415 Quissamã";1;1;-;-;-;-;1;4;5;2;1;3;2;4;5;9;10;9;12;10;18;-;97
"330420 Resende";6;4;5;-;1;1;4;12;18;9;13;15;15;17;24;44;57;52;51;54;91;-;493
"330430 Rio Bonito";4;1;2;-;-;-;2;7;2;6;3;8;4;14;18;17;26;18;28;23;61;-;244
"330440 Rio Claro";-;1;-;-;-;-;-;-;1;1;2;1;1;2;3;7;6;7;15;11;25;1;84
"330450 Rio das Flores";-;-;1;-;1;-;-;-;1;1;2;-;2;2;2;-;7;3;7;4;11;-;44
"330452 Rio das Ostras";2;-;5;-;4;2;2;15;13;25;13;26;16;21;24;34;51;53;47;30;65;1;449
"330455 Rio de Janeiro";249;103;165;-;102;45;84;583;817;632;595;660;732;970;1401;2104;2691;2947;2850;2901;6813;76;27520
"330460 Santa Maria Madalena";1;-;1;-;-;-;1;1;1;-;-;-;2;2;4;5;8;5;7;2;21;-;61
"330470 Santo Antônio de Pádua";2;-;1;-;-;-;1;4;2;3;4;2;6;6;16;15;23;25;17;29;71;-;227
"330480 São Fidélis";2;1;1;-;-;1;-;1;3;3;3;4;2;3;12;9;19;17;19;26;44;-;170
"330475 São Francisco de Itabapoana";1;2;2;-;-;1;-;5;2;7;4;5;4;9;9;19;25;20;16;17;53;-;201
"330490 São Gonçalo";31;12;36;-;11;4;16;167;160;102;91;119;131;158;255;336;428;477;456;440;763;21;4214
"330500 São João da Barra";7;-;-;-;-;-;1;3;4;2;5;5;4;9;12;22;32;22;17;30;30;2;207
