
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";7;6;7;1;1;4;17;24;28;21;24;22;31;35;48;53;47;47;44;69;3;539
"330015 Aperibé";-;-;-;-;-;-;1;1;1;1;2;1;2;-;5;1;5;3;4;14;-;41
"330020 Araruama";5;3;3;3;1;2;6;17;11;16;14;15;31;32;36;49;43;76;51;98;1;513
"330022 Areal";1;-;-;-;-;-;-;1;2;2;1;3;5;3;1;4;6;6;6;10;-;51
"330023 Armação dos Búzios";1;-;1;2;1;-;5;4;2;3;6;7;10;7;14;9;3;15;7;7;1;105
"330025 Arraial do Cabo";2;1;-;1;-;1;2;1;2;3;2;3;7;12;7;9;19;14;11;18;-;115
"330030 Barra do Piraí";8;1;5;-;-;1;3;9;7;8;15;18;26;32;46;26;38;29;45;79;1;397
"330040 Barra Mansa";14;1;2;2;2;4;11;21;22;30;22;32;44;59;52;47;73;79;68;127;2;714
"330045 Belford Roxo";26;8;27;5;3;7;54;75;62;59;54;75;107;109;150;171;159;174;176;234;3;1738
"330050 Bom Jardim";2;-;-;1;-;-;3;5;2;3;7;6;8;9;16;10;8;10;11;41;-;142
"330060 Bom Jesus do Itabapoana";2;1;1;-;1;-;2;4;3;2;3;8;10;11;15;17;13;24;17;46;1;181
"330070 Cabo Frio";10;-;2;4;4;9;18;25;23;23;27;20;38;52;68;57;79;68;65;112;5;709
"330080 Cachoeiras de Macacu";4;-;2;1;-;1;1;2;5;13;9;6;20;17;14;20;21;27;20;44;2;229
"330090 Cambuci";2;1;-;-;-;-;1;2;-;2;-;3;2;6;8;4;8;15;2;21;-;77
"330100 Campos dos Goytacazes";30;7;20;12;5;10;54;70;78;79;61;89;110;133;156;167;187;194;181;386;-;2029
"330110 Cantagalo";1;-;1;-;-;-;1;1;1;3;2;4;8;6;5;6;12;7;11;30;1;100
"330093 Carapebus";1;-;1;-;-;-;-;1;1;1;-;2;4;2;1;3;5;4;2;12;-;40
"330115 Cardoso Moreira";-;1;-;-;-;-;-;-;-;1;1;-;2;5;3;4;7;7;5;14;-;50
"330120 Carmo";1;2;2;1;-;-;-;-;1;1;10;-;8;4;4;10;6;13;7;19;-;89
"330130 Casimiro de Abreu";1;1;-;1;-;-;2;4;2;2;6;3;8;8;7;10;13;16;15;28;-;127
"330095 Comendador Levy Gasparian";1;-;-;-;-;-;1;1;-;1;2;-;3;2;5;4;6;2;4;7;-;39
"330140 Conceição de Macabu";4;1;-;-;-;1;3;2;2;1;2;2;7;1;8;6;3;8;10;15;1;77
"330150 Cordeiro";-;-;-;-;1;2;3;1;1;4;3;3;9;3;2;5;5;10;11;23;-;86
"330160 Duas Barras";1;-;1;1;-;-;-;3;-;1;1;1;2;4;8;3;2;2;3;7;-;40
"330170 Duque de Caxias";66;19;49;17;14;20;118;157;136;115;131;139;191;260;338;347;353;365;304;438;-;3577
"330180 Engenheiro Paulo de Frontin";1;-;-;-;-;-;-;-;1;2;3;3;3;7;5;8;6;7;8;12;-;66
"330185 Guapimirim";3;-;4;1;-;-;3;5;4;9;6;9;14;24;22;12;16;15;23;37;1;208
"330187 Iguaba Grande";1;1;-;1;-;1;-;2;3;5;4;3;4;2;15;8;15;14;17;25;-;121
"330190 Itaboraí";7;7;7;2;2;5;25;30;24;31;27;41;50;71;81;80;94;84;85;132;17;902
"330200 Itaguaí";8;2;6;1;1;2;13;16;18;17;21;16;24;30;37;43;45;34;43;60;1;438
"330205 Italva";-;-;-;-;-;-;1;-;-;1;3;1;3;5;6;4;8;6;9;16;-;63
"330210 Itaocara";1;-;-;-;-;1;1;2;6;5;1;4;7;9;8;13;12;10;15;44;-;139
"330220 Itaperuna";3;2;3;-;-;5;3;13;6;8;11;11;18;28;23;38;29;36;27;106;4;374
