
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";6;4;10;2;1;3;7;6;6;7;12;8;24;21;30;39;22;40;45;104;-;397
"330015 Aperibé";-;-;-;1;-;1;-;-;1;1;-;1;-;-;2;1;9;4;5;19;-;45
"330020 Araruama";8;-;6;4;-;2;1;3;-;8;4;10;17;21;21;22;40;31;57;153;-;408
"330022 Areal";-;-;-;-;-;1;1;-;2;-;-;1;-;1;2;3;4;2;6;7;-;30
"330023 Armação dos Búzios";1;-;2;-;-;-;1;-;2;-;4;3;6;7;2;9;8;6;7;18;-;76
"330025 Arraial do Cabo";1;-;-;-;1;-;1;1;1;1;1;1;1;4;1;5;5;3;13;27;-;67
"330030 Barra do Piraí";6;-;2;1;1;-;3;1;2;2;8;8;11;27;17;40;27;38;36;130;-;360
"330040 Barra Mansa";3;4;3;2;1;1;4;3;4;6;9;13;23;27;39;60;59;71;91;200;-;623
"330045 Belford Roxo";22;7;18;14;6;2;6;16;8;23;39;69;64;85;119;136;153;150;143;373;7;1460
"330050 Bom Jardim";1;1;-;1;-;-;-;1;-;1;3;3;-;5;4;8;7;4;5;41;-;85
"330060 Bom Jesus do Itabapoana";2;1;-;-;-;-;-;-;2;2;3;2;2;5;10;12;10;12;11;59;-;133
"330070 Cabo Frio";9;1;3;1;1;3;4;6;5;10;9;11;22;38;45;39;44;63;69;169;4;556
"330080 Cachoeiras de Macacu";1;-;-;-;-;2;1;1;-;6;1;8;11;13;12;15;19;14;20;63;-;187
"330090 Cambuci";1;-;1;-;-;1;-;-;-;-;1;3;-;4;-;1;3;4;6;35;-;60
"330100 Campos dos Goytacazes";28;7;16;11;5;6;17;16;18;29;29;29;62;92;104;127;143;179;204;632;-;1754
"330110 Cantagalo";1;-;-;-;-;-;-;-;1;-;2;6;1;5;5;4;7;5;9;32;-;78
