
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";7;4;10;7;-;10;26;27;27;13;25;22;37;44;51;55;50;60;53;98;-;626
"330015 Aperibé";-;-;-;-;-;-;-;3;-;-;3;-;5;2;5;3;6;8;9;17;-;61
"330020 Araruama";8;3;3;3;2;4;13;11;15;16;14;10;32;29;45;60;61;58;74;95;1;557
"330022 Areal";-;-;-;-;-;-;-;1;2;-;-;4;3;5;4;4;8;1;6;13;-;51
"330023 Armação dos Búzios";-;1;-;-;-;-;10;7;3;-;7;7;6;11;13;15;7;11;11;14;-;123
"330025 Arraial do Cabo";1;-;-;1;1;-;1;4;3;5;1;8;10;11;5;15;9;12;15;26;-;128
"330030 Barra do Piraí";6;3;2;1;1;5;6;7;8;1;8;21;21;36;45;39;44;37;41;102;2;436
"330040 Barra Mansa";14;3;3;1;-;3;10;8;21;14;14;25;50;41;63;72;79;73;86;127;-;707
"330045 Belford Roxo";24;7;28;7;4;9;75;82;61;63;56;56;97;116;157;188;196;167;171;257;5;1826
"330050 Bom Jardim";2;-;1;-;-;-;1;-;2;1;2;3;4;1;6;12;8;13;10;14;-;80
"330060 Bom Jesus do Itabapoana";2;-;1;2;-;3;2;2;2;3;3;6;2;11;15;10;8;14;21;45;1;153
"330070 Cabo Frio";17;5;5;6;2;7;39;37;30;41;28;36;40;64;69;75;78;70;80;102;2;833
"330080 Cachoeiras de Macacu";3;-;1;-;1;2;4;6;5;4;8;7;14;16;12;27;34;13;23;50;-;230
"330090 Cambuci";1;-;-;-;-;-;-;-;1;3;3;4;3;6;6;4;8;9;10;22;-;80
