
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";8;3;5;1;1;1;6;5;6;12;4;14;8;29;32;18;48;42;47;110;-;400
"330015 Aperibé";-;1;-;-;-;-;-;-;1;-;-;1;4;5;4;-;4;4;3;15;-;42
"330020 Araruama";7;4;4;4;1;1;3;4;4;3;5;5;18;16;29;25;48;43;54;177;-;455
"330022 Areal";2;1;-;-;-;-;1;-;-;-;1;1;2;1;5;3;5;2;2;13;-;39
"330023 Armação dos Búzios";2;-;1;1;-;-;1;-;-;2;2;3;-;4;7;10;13;10;7;24;-;87
"330025 Arraial do Cabo";-;-;1;1;-;-;1;2;1;1;3;3;3;6;10;8;6;13;15;33;-;107
"330030 Barra do Piraí";4;1;1;-;1;-;4;-;2;1;5;5;16;13;26;38;40;33;44;146;-;380
"330040 Barra Mansa";5;1;4;-;1;-;1;3;4;6;10;20;17;33;46;44;56;67;73;231;-;622
"330045 Belford Roxo";16;6;19;5;1;2;9;14;16;22;26;48;64;93;112;130;139;163;153;394;9;1441
"330050 Bom Jardim";1;-;-;-;-;-;-;1;1;-;1;2;1;5;6;5;8;10;6;29;-;76
"330060 Bom Jesus do Itabapoana";2;-;2;-;-;3;-;-;-;-;2;1;3;3;14;10;3;8;17;67;-;135
"330070 Cabo Frio";8;2;3;4;1;2;3;8;9;10;12;17;20;37;40;39;42;69;65;172;-;563
"330080 Cachoeiras de Macacu";-;1;1;1;1;-;2;1;2;2;5;5;9;7;10;19;18;17;16;66;-;183
"330090 Cambuci";-;-;-;-;-;-;-;-;-;1;-;-;2;4;-;4;2;5;4;25;-;47
"330100 Campos dos Goytacazes";28;19;24;5;1;3;6;15;10;25;43;35;65;81;119;116;168;184;203;644;-;1794
"330110 Cantagalo";5;1;1;1;-;-;-;-;2;1;1;2;1;6;6;5;12;9;15;25;-;93
