
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";3;3;4;2;2;5;21;23;15;23;30;17;23;37;48;55;48;51;33;73;2;518
"330015 Aperibé";-;-;1;1;-;-;1;-;-;-;1;2;2;2;4;5;3;2;6;14;-;44
"330020 Araruama";6;1;1;3;1;3;10;11;18;11;11;14;19;31;40;50;52;74;48;112;1;517
"330022 Areal";-;-;-;-;-;-;-;-;1;1;-;2;3;2;4;3;5;6;10;12;-;49
"330023 Armação dos Búzios";4;-;1;1;1;-;2;5;3;5;4;7;6;11;11;5;13;4;5;14;-;102
"330025 Arraial do Cabo";1;-;-;1;-;-;1;3;-;2;3;2;9;9;9;13;8;13;15;21;1;111
"330030 Barra do Piraí";5;5;4;2;1;2;4;8;12;4;11;16;21;25;43;35;35;40;30;73;1;377
"330040 Barra Mansa";6;2;6;3;-;3;13;19;9;16;28;28;36;49;70;64;81;76;69;122;1;701
"330045 Belford Roxo";28;5;19;11;5;6;57;70;76;65;54;70;103;135;162;131;195;190;157;223;1;1763
"330050 Bom Jardim";1;-;1;1;-;1;-;-;3;5;5;3;11;13;6;13;8;12;20;31;-;134
"330060 Bom Jesus do Itabapoana";1;1;1;3;-;-;2;2;6;5;5;12;6;15;12;17;25;15;24;41;1;194
"330070 Cabo Frio";11;3;2;2;-;4;26;29;19;30;21;38;41;51;51;73;76;73;69;89;22;730
"330080 Cachoeiras de Macacu";1;-;1;-;2;-;2;7;5;6;5;7;10;14;20;16;22;16;22;42;-;198
"330090 Cambuci";1;-;-;-;-;-;1;-;2;-;-;5;5;6;4;8;7;6;3;23;-;71
"330100 Campos dos Goytacazes";35;10;14;10;4;11;41;76;82;56;64;98;111;123;128;164;211;229;208;396;-;2071
"330110 Cantagalo";2;1;-;-;1;-;2;5;4;1;4;7;5;8;5;5;11;12;11;20;-;104
"330093 Carapebus";-;-;-;1;1;-;-;1;-;1;3;3;-;3;6;9;4;6;7;8;1;54
"330115 Cardoso Moreira";1;-;1;-;-;-;-;1;1;2;2;1;2;3;5;5;5;8;6;17;-;60
"330120 Carmo";1;2;2;-;-;1;1;2;-;1;1;3;5;4;3;8;10;9;13;24;-;90
"330130 Casimiro de Abreu";3;1;1;-;2;1;2;4;6;5;5;4;8;7;18;10;14;10;12;22;-;135
"330095 Comendador Levy Gasparian";1;-;1;-;-;-;-;-;1;1;1;3;1;3;2;5;1;3;6;11;-;40
"330140 Conceição de Macabu";1;-;-;-;-;1;2;-;4;4;4;1;6;1;13;6;4;15;11;12;-;85
"330150 Cordeiro";-;-;1;1;1;-;2;1;1;3;3;6;9;6;4;8;2;12;10;24;-;94
"330160 Duas Barras";2;1;-;-;-;-;3;2;1;1;-;-;2;4;3;5;7;1;7;9;-;48
"330170 Duque de Caxias";49;9;33;22;8;21;144;145;150;130;118;146;202;318;328;351;314;365;318;456;11;3638
"330180 Engenheiro Paulo de Frontin";1;-;-;-;-;-;1;-;1;-;2;3;-;5;4;5;6;11;10;18;-;67
"330185 Guapimirim";2;1;-;-;-;1;2;7;6;3;8;4;14;18;15;17;18;15;20;31;-;182
"330187 Iguaba Grande";1;-;1;-;-;-;3;4;-;3;4;1;3;5;7;14;14;25;9;17;-;111
"330190 Itaboraí";16;3;5;7;2;3;25;29;26;27;24;44;53;62;78;95;115;109;79;156;16;974
"330200 Itaguaí";10;-;7;-;2;3;17;25;12;19;20;14;17;33;41;45;41;45;53;57;4;465
"330205 Italva";-;1;1;-;-;-;1;1;-;-;1;1;2;7;1;5;7;6;6;23;-;63
"330210 Itaocara";-;-;-;-;-;-;3;2;-;3;6;4;7;8;14;5;7;20;13;41;-;133
"330220 Itaperuna";3;-;3;1;-;1;4;15;8;7;17;18;27;24;22;34;37;47;43;85;-;396
"330225 Itatiaia";2;-;2;1;1;-;5;4;1;5;2;7;4;4;17;4;10;2;11;14;-;96
"330227 Japeri";5;1;4;1;-;5;6;16;22;22;12;16;21;18;28;33;42;47;34;34;-;367
"330230 Laje do Muriaé";-;-;-;-;-;-;-;-;-;-;-;1;1;2;4;2;2;5;5;10;-;32
"330240 Macaé";13;6;9;6;3;5;23;28;15;28;14;30;28;52;70;46;46;53;58;84;2;619
"330245 Macuco";-;-;1;-;-;1;-;1;1;1;-;1;1;4;1;-;3;4;3;2;-;24
"330250 Magé";10;4;7;3;7;1;18;26;29;27;26;41;53;83;83;99;94;91;82;177;1;962
"330260 Mangaratiba";2;1;-;-;-;1;3;2;4;7;3;5;12;10;17;20;13;21;11;23;2;157
"330270 Maricá";3;1;5;1;1;2;10;7;12;14;14;17;31;34;47;42;64;52;65;88;2;512
"330280 Mendes";-;-;1;1;-;-;1;-;2;2;1;1;3;2;11;9;10;8;12;11;-;75
"330285 Mesquita";7;1;9;4;1;1;20;29;26;29;18;23;36;44;53;66;81;79;74;93;3;697
"330290 Miguel Pereira";-;-;-;-;-;-;-;1;2;5;3;4;4;9;12;7;15;14;14;32;1;123
"330300 Miracema";1;1;2;-;-;-;-;5;4;2;1;5;7;8;8;10;11;13;15;29;1;123
"330310 Natividade";2;-;-;-;-;-;-;3;-;2;2;1;5;5;5;3;3;10;9;21;-;71
"330320 Nilópolis";16;2;3;6;3;1;9;21;23;16;17;34;44;58;86;80;78;92;87;130;3;809
"330330 Niterói";27;3;15;14;14;13;48;71;57;48;59;72;93;150;168;206;205;210;249;563;3;2288
"330340 Nova Friburgo";10;4;5;1;-;7;12;20;18;15;17;28;42;48;67;67;82;75;88;187;-;793
"330350 Nova Iguaçu";51;19;44;10;10;8;68;123;117;114;104;148;168;258;271;306;339;321;342;428;18;3267
"330360 Paracambi";3;1;1;-;-;1;1;1;5;4;3;8;7;22;20;34;19;24;27;37;-;218
"330370 Paraíba do Sul";2;1;-;-;1;-;-;2;5;6;5;8;6;12;13;8;28;21;29;48;-;195
"330380 Paraty";1;-;3;-;1;-;1;10;3;6;4;7;2;4;6;6;22;10;8;19;1;114
"330385 Paty do Alferes";2;1;1;1;-;-;2;3;3;1;3;8;5;8;6;8;10;12;17;27;-;118
"330390 Petrópolis";18;9;7;5;4;2;12;22;27;23;35;47;79;109;113;146;145;174;144;271;1;1393
"330395 Pinheiral";-;-;-;-;-;1;2;4;-;1;2;3;5;6;6;4;6;4;7;16;-;67
"330400 Piraí";2;-;1;-;-;-;-;1;1;-;2;6;8;13;9;10;15;7;12;23;-;110
"330410 Porciúncula";-;1;-;-;-;-;-;2;-;1;-;3;4;4;6;4;5;4;7;26;-;67
"330411 Porto Real";-;-;1;1;-;-;1;1;3;4;5;5;2;5;1;-;8;5;8;6;-;56
"330412 Quatis";1;-;-;-;-;-;-;1;1;1;-;1;1;1;4;5;4;3;3;12;-;38
"330414 Queimados";10;4;7;4;5;3;6;19;23;14;23;26;33;33;53;62;51;69;63;78;1;587
"330415 Quissamã";3;-;-;1;2;-;-;1;2;2;3;3;3;6;7;4;9;7;8;16;-;77
"330420 Resende";5;3;6;1;1;2;10;13;8;14;10;20;26;27;25;39;40;50;41;63;2;406
"330430 Rio Bonito";2;-;1;-;-;-;2;7;3;5;7;9;10;18;27;20;24;23;21;53;1;233
"330440 Rio Claro";2;-;2;1;-;1;4;1;1;3;2;2;2;3;9;6;3;7;9;12;-;70
"330450 Rio das Flores";1;-;-;-;-;-;-;-;1;3;2;-;2;4;5;4;5;2;9;7;-;45
"330452 Rio das Ostras";7;1;1;4;2;1;4;11;16;7;10;12;21;34;20;21;24;25;20;27;5;273
"330455 Rio de Janeiro";286;94;218;133;63;104;478;656;722;662;722;851;1249;1815;2293;2438;2492;2862;3166;6037;70;27411
"330460 Santa Maria Madalena";1;-;-;-;-;-;-;1;4;2;1;4;4;2;-;6;4;4;5;7;-;45
"330470 Santo Antônio de Pádua";1;1;2;1;1;1;3;3;5;5;5;8;9;15;16;12;23;17;11;49;-;188
"330480 São Fidélis";1;1;2;-;1;2;-;4;-;4;6;1;10;15;5;20;21;31;19;48;-;191
"330475 São Francisco de Itabapoana";1;1;2;-;1;2;5;4;4;7;6;9;9;9;16;5;12;17;15;42;-;167
"330490 São Gonçalo";46;23;20;19;4;9;86;134;138;134;117;155;188;322;396;357;405;464;401;629;9;4056
"330500 São João da Barra";2;1;3;-;1;1;1;2;6;6;5;3;9;6;21;7;15;7;14;25;1;136
"330510 São João de Meriti";22;10;17;8;7;11;39;52;58;52;49;79;116;146;167;186;189;218;181;285;10;1902
"330513 São José de Ubá";-;-;-;-;-;-;-;-;-;2;1;1;1;2;1;3;2;3;2;9;-;27
"330515 São José do Vale do Rio Preto";3;-;1;-;-;-;-;2;1;1;1;1;3;4;5;8;5;4;8;14;-;61
"330520 São Pedro da Aldeia";7;2;1;-;2;1;5;8;9;15;9;5;11;23;18;21;30;28;41;38;1;275
"330530 São Sebastião do Alto";-;-;-;-;-;-;-;1;1;1;1;2;3;3;3;2;6;6;7;12;-;48
"330540 Sapucaia";1;-;-;-;-;-;1;2;3;1;-;1;6;6;-;6;7;17;6;13;-;70
"330550 Saquarema";2;1;1;2;4;2;4;4;7;6;12;14;22;18;29;36;37;29;38;50;-;318
"330555 Seropédica";6;-;3;-;1;2;2;10;11;6;7;18;13;27;17;22;26;23;26;51;2;273
"330560 Silva Jardim";2;2;3;-;-;-;4;2;3;-;3;4;3;5;7;7;3;7;7;18;1;81
