
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";4;5;3;3;2;2;2;1;4;11;9;12;16;20;21;25;35;43;37;88;1;344
"330015 Aperibé";-;-;-;-;-;-;-;-;-;2;-;1;4;1;3;3;4;7;5;15;-;45
"330020 Araruama";4;4;4;-;-;2;7;2;5;7;10;13;15;20;27;25;32;39;48;152;-;416
"330022 Areal";-;-;1;-;-;-;-;1;-;-;1;3;-;-;1;6;3;3;4;15;-;38
"330023 Armação dos Búzios";1;1;-;-;-;1;3;1;-;2;3;1;5;4;6;7;4;6;9;21;-;75
"330025 Arraial do Cabo";1;-;-;-;1;-;-;-;2;3;1;1;3;5;8;4;6;10;12;24;-;81
"330030 Barra do Piraí";4;3;3;-;2;-;2;6;3;5;4;8;10;14;30;31;22;39;37;121;-;344
"330040 Barra Mansa";5;6;4;1;1;1;4;2;3;6;10;14;25;25;33;45;42;59;70;185;2;543
"330045 Belford Roxo";22;7;19;8;2;9;6;12;15;27;46;49;91;90;127;136;142;162;169;356;1;1496
"330050 Bom Jardim";1;-;3;-;-;-;-;1;-;1;3;1;3;2;4;4;2;14;7;37;-;83
"330060 Bom Jesus do Itabapoana";2;-;1;1;1;-;-;-;1;1;2;-;5;5;3;9;10;8;14;53;1;117
"330070 Cabo Frio";8;2;3;1;1;2;3;6;6;4;13;18;27;36;32;33;43;44;63;180;3;528
"330080 Cachoeiras de Macacu";2;-;-;-;1;-;-;2;6;1;-;11;5;9;8;19;17;17;24;64;-;186
"330090 Cambuci";2;-;-;-;-;-;-;-;1;-;1;-;2;4;4;4;5;5;8;28;-;64
"330100 Campos dos Goytacazes";26;8;10;8;3;5;12;18;20;25;28;39;63;89;100;132;133;163;199;592;1;1674
"330110 Cantagalo";2;-;1;1;-;-;-;-;-;1;-;3;-;-;5;8;7;6;3;33;-;70
"330093 Carapebus";1;-;-;-;-;-;-;-;1;-;-;1;5;4;3;1;6;5;-;9;-;36
"330115 Cardoso Moreira";-;-;-;-;1;-;-;-;1;1;1;1;2;2;3;4;3;5;5;15;-;44
