
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";4;3;2;1;1;1;5;2;6;7;10;8;15;16;22;31;26;45;32;102;-;339
"330015 Aperibé";-;-;-;-;-;-;-;-;1;1;-;1;2;2;1;3;1;4;4;19;-;39
"330020 Araruama";6;1;6;1;2;3;2;3;4;3;4;12;23;20;23;29;24;39;35;160;-;400
"330022 Areal";-;-;-;-;-;-;-;-;-;-;2;-;2;3;1;2;4;5;3;17;-;39
"330023 Armação dos Búzios";1;1;-;-;-;1;1;-;1;1;2;4;9;5;5;2;4;5;2;23;2;69
"330025 Arraial do Cabo";2;-;1;-;-;-;2;-;1;-;1;-;3;7;5;7;7;5;3;27;-;71
"330030 Barra do Piraí";6;-;2;1;2;-;-;3;1;5;7;9;14;16;27;20;28;32;34;119;-;326
"330040 Barra Mansa";7;3;2;4;2;2;2;4;5;11;9;16;30;28;38;44;53;69;66;186;-;581
"330045 Belford Roxo";24;9;15;6;3;4;14;14;20;24;37;56;67;104;114;118;138;158;164;357;2;1448
"330050 Bom Jardim";2;-;-;1;-;-;-;1;-;2;-;3;4;3;7;3;5;7;10;33;-;81
"330060 Bom Jesus do Itabapoana";3;-;1;1;1;-;2;1;1;2;1;4;3;8;8;11;13;12;15;53;1;141
"330070 Cabo Frio";9;1;8;2;6;2;6;7;7;5;13;17;31;28;35;44;41;52;58;145;3;520
"330080 Cachoeiras de Macacu";5;-;-;-;2;-;1;3;-;7;2;7;8;6;12;14;10;15;22;62;-;176
"330090 Cambuci";-;-;-;-;-;-;-;-;-;1;-;3;-;1;3;4;7;3;5;23;1;51
"330100 Campos dos Goytacazes";21;10;16;7;5;4;9;10;25;26;29;55;73;72;104;120;152;182;191;510;1;1622
"330110 Cantagalo";-;1;-;1;-;1;-;-;1;-;1;1;2;-;1;4;4;5;7;30;-;59
"330093 Carapebus";-;-;1;1;-;-;-;-;-;-;3;1;2;2;2;1;3;5;5;8;-;34
"330115 Cardoso Moreira";1;-;1;-;-;-;-;-;2;1;-;-;-;2;2;-;2;3;4;13;-;31
"330120 Carmo";4;1;-;-;-;-;-;-;2;-;1;-;4;2;2;5;6;4;10;21;-;62
"330130 Casimiro de Abreu";-;-;-;2;-;-;1;-;1;2;3;4;5;2;2;4;3;8;11;32;-;80
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;-;-;-;-;-;-;2;4;1;3;1;1;2;9;-;23
