
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";3;5;4;-;2;4;16;33;22;28;19;25;23;35;59;65;71;65;64;89;2;634
"330015 Aperibé";-;-;1;-;-;-;-;1;-;1;1;1;3;1;4;4;5;6;6;19;-;53
"330020 Araruama";7;1;5;3;1;2;21;18;11;20;16;15;27;28;58;63;58;52;67;123;3;599
"330022 Areal";1;1;-;-;-;1;1;-;-;-;1;-;2;3;9;3;9;4;5;11;-;51
"330023 Armação dos Búzios";1;-;1;1;-;-;4;4;5;4;7;6;9;7;14;10;19;15;10;22;-;139
"330025 Arraial do Cabo";6;-;1;-;-;1;2;8;1;2;4;5;8;8;17;16;15;15;21;26;-;156
"330030 Barra do Piraí";3;2;1;1;1;2;5;13;9;10;8;22;11;39;41;55;59;53;43;91;6;475
"330040 Barra Mansa";8;3;4;4;-;1;6;9;11;15;27;40;30;39;67;85;81;69;108;171;-;778
"330045 Belford Roxo";24;8;34;6;5;7;85;97;58;69;65;70;97;136;190;194;217;184;175;290;18;2029
"330050 Bom Jardim";4;-;1;-;-;-;1;4;4;2;2;3;3;10;13;11;10;9;14;22;-;113
"330060 Bom Jesus do Itabapoana";2;-;1;1;-;1;2;3;2;1;6;5;11;10;15;14;17;25;10;40;-;166
"330070 Cabo Frio";4;3;5;1;-;3;35;32;18;24;14;28;42;44;65;87;68;73;86;137;1;770
"330080 Cachoeiras de Macacu";-;-;1;1;2;1;-;7;6;10;13;6;14;16;22;39;25;27;21;60;-;271
"330090 Cambuci";1;-;-;-;-;-;2;-;1;1;1;2;6;2;3;4;9;12;5;22;-;71
"330100 Campos dos Goytacazes";35;16;27;8;4;11;73;84;76;65;72;87;100;131;173;195;196;197;203;453;-;2206
"330110 Cantagalo";1;-;-;-;-;1;2;-;3;-;6;4;4;5;9;10;7;11;9;30;1;103
"330093 Carapebus";2;1;-;2;-;-;3;2;1;2;1;2;3;3;2;4;5;4;8;12;-;57
"330115 Cardoso Moreira";-;-;-;-;-;-;-;1;1;4;4;3;3;2;5;7;3;8;3;23;-;67
"330120 Carmo";1;-;-;1;-;-;3;1;2;1;1;2;2;3;7;10;4;10;11;23;-;82
"330130 Casimiro de Abreu";3;-;1;-;-;-;6;4;9;7;5;2;10;7;11;13;15;10;16;29;-;148
"330095 Comendador Levy Gasparian";-;1;1;1;-;-;-;2;1;-;1;3;3;2;2;7;4;5;4;7;1;45
"330140 Conceição de Macabu";1;1;-;-;-;-;5;4;1;1;6;6;4;7;5;11;7;10;8;12;-;89
"330150 Cordeiro";1;-;-;1;-;-;2;-;3;1;4;1;2;10;7;13;7;12;12;21;-;97
"330160 Duas Barras";1;-;-;-;-;-;-;-;2;-;1;1;1;2;-;3;3;2;6;14;-;36
"330170 Duque de Caxias";60;12;47;15;10;10;118;147;102;92;114;106;159;232;322;391;466;362;338;591;1;3695
"330180 Engenheiro Paulo de Frontin";-;-;-;1;-;-;1;-;1;2;1;3;4;6;10;10;7;5;4;11;-;66
"330185 Guapimirim";3;-;-;1;-;1;13;5;10;4;10;12;14;20;21;26;29;16;27;43;-;255
"330187 Iguaba Grande";-;-;-;2;-;-;3;1;3;-;4;1;3;5;13;11;8;17;16;27;-;114
"330190 Itaboraí";12;3;5;3;1;3;30;38;34;31;33;26;50;63;81;93;118;101;110;147;12;994
"330200 Itaguaí";10;3;1;1;-;7;20;18;24;14;18;22;27;28;54;64;67;65;50;85;1;579
"330205 Italva";-;-;-;-;-;1;-;1;-;-;3;2;4;2;4;5;5;9;6;28;-;70
