"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";7;3;2;4;2;4;11;23;22;26;25;17;35;48;49;51;44;56;60;87;9;585
"330015 Aperibé";-;-;1;-;1;-;1;-;1;1;2;1;1;3;2;7;5;4;6;15;-;51
"330020 Araruama";6;-;1;3;1;1;12;16;14;14;16;12;30;32;43;54;62;66;70;133;-;586
"330022 Areal";1;-;-;-;-;-;-;2;-;-;2;2;4;2;4;6;6;3;4;15;-;51
"330023 Armação dos Búzios";4;-;2;1;2;1;5;2;3;5;6;9;5;11;5;14;12;8;15;10;-;120
"330025 Arraial do Cabo";-;-;-;1;-;1;2;-;1;2;2;4;7;12;11;14;10;10;11;23;-;111
"330030 Barra do Piraí";6;-;1;-;1;1;7;9;4;13;11;15;18;30;39;43;40;46;36;99;2;421
"330040 Barra Mansa";6;2;5;1;-;2;11;16;15;15;24;45;46;39;59;87;73;75;80;143;-;744
"330045 Belford Roxo";22;11;23;7;7;11;79;77;66;90;60;86;110;154;175;193;178;177;160;250;26;1962
"330050 Bom Jardim";1;-;-;-;-;1;1;3;2;7;4;5;8;8;8;11;12;13;10;32;-;126
"330060 Bom Jesus do Itabapoana";1;-;2;-;-;-;1;1;7;8;6;7;6;11;18;17;17;22;19;37;-;180
"330070 Cabo Frio";9;3;10;3;4;8;31;35;25;28;27;33;38;55;74;85;62;87;62;114;14;807
"330080 Cachoeiras de Macacu";4;1;-;1;-;1;4;10;4;7;12;13;15;18;20;24;20;31;20;53;-;258
"330090 Cambuci";-;-;-;-;-;-;1;-;2;1;1;2;6;8;5;5;7;9;10;16;-;73
"330100 Campos dos Goytacazes";36;14;23;6;4;12;59;80;61;75;67;67;109;126;142;188;193;202;216;426;-;2106
"330110 Cantagalo";1;1;-;-;-;-;-;2;1;1;1;5;7;8;6;14;7;4;14;18;-;90
"330093 Carapebus";-;1;-;-;1;-;3;1;-;2;-;1;1;2;5;1;4;5;2;6;-;35
"330115 Cardoso Moreira";1;-;-;-;-;-;1;-;1;-;-;-;1;1;6;3;4;7;5;25;-;55
"330120 Carmo";-;-;1;-;-;-;-;-;2;-;-;2;6;5;7;10;8;7;12;18;-;78
"330130 Casimiro de Abreu";4;-;1;1;-;2;3;3;3;5;2;9;5;10;7;13;17;12;13;20;-;130
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;-;-;1;2;1;1;2;3;1;2;1;4;5;10;-;33
