"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";6;2;3;1;-;1;2;7;4;5;9;16;9;20;19;33;35;33;48;114;-;367
"330015 Aperibé";1;1;-;-;-;-;-;-;-;-;-;1;2;1;5;3;1;3;2;14;-;34
"330020 Araruama";7;1;4;1;2;-;2;7;5;7;10;11;19;18;25;26;39;44;61;164;-;453
"330022 Areal";-;-;-;1;-;-;-;-;-;2;-;-;2;3;4;4;3;5;4;17;-;45
"330023 Armação dos Búzios";6;-;1;2;-;-;3;3;1;3;2;3;4;6;4;6;9;7;8;26;-;94
"330025 Arraial do Cabo";1;-;3;-;-;1;-;-;2;-;-;1;2;11;2;4;7;13;16;25;-;88
"330030 Barra do Piraí";3;1;1;-;-;-;3;4;4;4;6;16;17;22;24;37;32;47;50;113;1;385
"330040 Barra Mansa";4;1;3;3;-;1;3;5;2;7;10;14;21;23;40;43;47;52;69;219;-;567
"330045 Belford Roxo";20;11;16;5;2;7;16;12;25;22;32;57;60;92;124;128;128;151;177;393;1;1479
"330050 Bom Jardim";1;-;-;-;1;-;-;1;-;-;1;4;1;4;5;5;5;11;6;33;-;78
"330060 Bom Jesus do Itabapoana";3;-;1;-;-;-;-;1;3;3;3;3;6;6;10;7;7;16;19;52;-;140
"330070 Cabo Frio";11;2;7;3;-;3;5;9;4;9;13;15;18;29;26;46;48;62;67;172;1;550
"330080 Cachoeiras de Macacu";2;2;1;2;-;-;1;1;6;2;2;7;7;9;7;18;15;18;23;63;-;186
"330090 Cambuci";-;-;1;-;-;-;-;-;-;-;-;2;5;7;3;2;5;6;6;30;-;67
"330100 Campos dos Goytacazes";27;6;10;11;5;5;7;16;18;24;22;32;59;82;129;125;154;166;200;584;-;1682
"330110 Cantagalo";-;-;1;1;-;2;-;1;1;-;1;4;2;1;2;4;6;10;9;27;-;72
"330093 Carapebus";1;-;2;-;-;-;-;-;-;-;1;1;-;-;4;2;6;5;4;13;-;39
"330115 Cardoso Moreira";-;-;-;1;-;-;-;1;-;-;-;1;3;1;5;3;5;7;4;30;-;61
"330120 Carmo";1;-;-;-;-;-;-;-;-;1;1;2;3;4;5;2;6;7;5;27;-;64
"330130 Casimiro de Abreu";1;-;1;2;-;2;1;-;1;3;2;4;2;3;5;8;10;10;13;43;-;111
"330095 Comendador Levy Gasparian";1;-;-;-;-;-;-;-;-;-;-;-;3;1;3;-;6;2;-;18;-;34
"330140 Conceição de Macabu";1;-;-;1;-;1;2;2;-;1;-;1;2;3;3;8;4;4;9;28;-;70
"330150 Cordeiro";1;-;-;-;-;-;-;-;-;2;-;1;3;1;4;4;1;6;7;28;-;58
"330160 Duas Barras";2;1;-;-;-;-;-;1;1;1;1;1;3;1;2;2;2;2;1;12;-;33
"330170 Duque de Caxias";43;19;23;13;4;5;28;26;33;40;67;82;131;160;219;240;271;300;369;831;-;2904
"330180 Engenheiro Paulo de Frontin";-;-;-;-;-;-;-;-;2;1;2;-;1;3;2;2;2;4;12;19;-;50
"330185 Guapimirim";3;2;1;-;1;-;1;2;1;2;4;6;9;17;10;18;8;12;21;43;-;161
"330187 Iguaba Grande";-;-;-;-;-;1;-;1;1;1;-;-;3;3;7;4;3;9;10;39;-;82
"330190 Itaboraí";12;3;1;1;1;2;4;4;7;15;17;26;32;34;46;66;65;64;62;234;3;699
"330200 Itaguaí";3;1;2;1;-;1;3;3;1;9;7;15;16;22;22;30;27;38;42;79;-;322
"330205 Italva";-;-;1;-;-;-;-;1;-;-;2;1;1;1;-;5;2;3;5;23;-;45
"330210 Itaocara";-;-;1;2;-;-;-;-;2;-;-;1;3;6;1;8;8;11;13;33;-;89
"330220 Itaperuna";1;1;2;-;-;3;1;1;4;2;8;6;15;16;24;29;30;26;39;141;1;350
"330225 Itatiaia";1;1;-;1;-;-;-;2;1;2;2;2;3;6;5;9;9;7;13;29;-;93
"330227 Japeri";2;-;3;1;-;1;5;3;3;4;5;12;13;26;27;22;28;23;25;84;-;287
"330230 Laje do Muriaé";-;-;-;1;-;1;-;-;-;-;1;-;1;-;2;-;2;3;4;6;-;21
"330240 Macaé";14;3;7;4;4;2;6;6;5;8;13;14;27;39;32;52;38;35;41;153;1;504
"330245 Macuco";-;-;-;-;-;-;-;-;-;1;-;-;-;3;1;2;5;2;1;14;-;29
