
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330010 Angra dos Reis";4;-;6;-;2;6;5;7;7;4;4;9;18;13;31;18;30;25;35;36;98;-;358
"330015 Aperibé";-;-;-;-;-;-;-;-;-;-;2;-;-;3;3;1;2;2;3;5;10;-;31
"330020 Araruama";11;3;2;-;3;1;1;1;2;7;2;6;8;10;18;12;28;20;39;49;142;-;365
"330022 Areal";-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;1;4;5;4;5;9;-;33
"330023 Armação dos Búzios";1;-;-;-;-;1;-;-;-;-;2;1;3;2;2;3;1;4;7;6;16;-;49
"330025 Arraial do Cabo";1;-;-;-;-;-;-;1;1;1;1;-;-;4;7;8;6;11;12;13;17;-;83
"330030 Barra do Piraí";6;2;6;-;1;-;2;5;2;3;3;7;4;21;16;11;24;34;28;34;104;-;313
"330040 Barra Mansa";4;3;4;-;1;1;2;2;5;3;9;8;17;22;35;40;36;56;73;64;174;-;559
"330045 Belford Roxo";18;2;19;-;6;4;7;8;11;20;27;34;48;63;100;98;115;137;158;150;362;2;1389
"330050 Bom Jardim";1;-;-;-;-;-;-;-;1;1;1;4;2;-;6;2;3;8;7;8;28;-;72
"330060 Bom Jesus do Itabapoana";1;-;3;-;-;-;-;-;3;2;3;5;2;4;6;7;9;8;14;11;71;2;151
"330070 Cabo Frio";8;-;7;-;7;1;2;4;4;6;7;16;18;19;26;30;33;57;43;49;125;1;463
"330080 Cachoeiras de Macacu";3;1;2;-;1;-;2;-;3;-;1;5;9;7;7;15;11;9;13;25;48;-;162
"330090 Cambuci";-;-;1;-;-;-;-;2;-;1;1;1;2;3;4;4;1;4;4;5;19;-;52
"330100 Campos dos Goytacazes";27;11;15;-;7;10;6;14;12;18;21;23;44;55;86;96;101;123;170;198;525;-;1562
"330110 Cantagalo";1;-;1;-;-;-;-;-;2;-;3;1;2;4;4;4;2;2;8;12;15;-;61
"330093 Carapebus";-;-;-;-;-;-;1;-;1;1;-;-;1;1;2;2;2;1;5;2;15;-;34
"330115 Cardoso Moreira";1;-;-;-;-;1;1;1;-;-;-;2;1;1;3;3;3;2;5;3;22;-;49
"330120 Carmo";-;-;-;-;-;-;-;-;1;-;-;3;2;3;5;3;3;6;3;7;30;1;67
